"","colnames(Data)","Position"
"1","ID","1"
"2","var1","2"
"3","var2","3"
"4","var3","4"
"5","var4","5"
"6","var5","6"
"7","var6","7"
"8","var7","8"
"9","var8","9"
"10","var9","10"
"11","var10","11"
"12","var11","12"
"13","var12","13"
"14","var13","14"
"15","var14","15"
"16","var15","16"
"17","var16","17"
"18","var17","18"
"19","var18","19"
"20","var19","20"
"21","var20","21"
"22","var21","22"
"23","var22","23"
"24","var24","24"
"25","var25","25"
"26","var26","26"
"27","var27","27"
"28","var28","28"
"29","var29","29"
"30","var30","30"
"31","var31","31"
"32","var32","32"
"33","var33","33"
"34","var34","34"
"35","var35","35"
"36","var36","36"
"37","var37","37"
"38","var38","38"
"39","var39","39"
"40","var40","40"
"41","var41","41"
"42","var42","42"
"43","var43","43"
"44","var44","44"
"45","var45","45"
"46","var46","46"
"47","var47","47"
"48","var48","48"
"49","var49","49"
"50","var50","50"
"51","var51","51"
"52","var52","52"
"53","var53","53"
"54","var54","54"
"55","var55","55"
"56","var56","56"
"57","var57","57"
"58","var58","58"
"59","var59","59"
"60","var60","60"
"61","var61","61"
"62","var62","62"
"63","var63","63"
"64","var64","64"
"65","var65","65"
"66","var66","66"
"67","var67","67"
"68","var68","68"
"69","var69","69"
"70","var70","70"
"71","var71","71"
"72","var72","72"
"73","var73","73"
"74","var74","74"
"75","var75","75"
"76","var76","76"
"77","var77","77"
"78","var78","78"
"79","var79","79"
"80","var80","80"
"81","var81","81"
"82","var82","82"
"83","var83","83"
"84","var84","84"
"85","var85","85"
"86","var86","86"
"87","var87","87"
"88","var88","88"
"89","var89","89"
"90","var90","90"
"91","var91","91"
"92","var92","92"
"93","var93","93"
"94","var94","94"
"95","var95","95"
"96","var96","96"
"97","var97","97"
"98","var98","98"
"99","var99","99"
"100","var100","100"
"101","var101","101"
"102","var102","102"
"103","var103","103"
"104","var104","104"
"105","var105","105"
"106","var106","106"
"107","var107","107"
"108","var108","108"
"109","var109","109"
"110","var110","110"
"111","var111","111"
"112","var112","112"
"113","var113","113"
"114","var114","114"
"115","var115","115"
"116","var116","116"
"117","var117","117"
"118","var118","118"
"119","var119","119"
"120","var120","120"
"121","var121","121"
"122","var122","122"
"123","var123","123"
"124","var124","124"
"125","var125","125"
"126","var126","126"
"127","var127","127"
"128","var128","128"
"129","var129","129"
"130","var130","130"
"131","var131","131"
"132","var132","132"
"133","var133","133"
"134","var134","134"
"135","var135","135"
"136","var136","136"
"137","var137","137"
"138","var138","138"
"139","var139","139"
"140","var140","140"
"141","var141","141"
"142","var142","142"
"143","var143","143"
"144","var144","144"
"145","var145","145"
"146","var146","146"
"147","Y","147"
